library	Blue_Macia	Cyan_IS12646	Gold_RTx430	Green_Ajabsido	Orange_MotaMaradi	Purple_SRN39	max_allele	max_value	Genotype_sum
IPCG	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	2688
IPCH	0.0	0.0	0.0	0.004069635993669455	0.9959303640063305	0.0	Orange	0.9959303640063305	4423
IPCI	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	2688
IPCJ	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	5984
IPCK	0.9981851179673321	0.0	0.0	0.0	0.0018148820326678765	0.0	Blue	0.9981851179673321	551
IPCL	0.31862312444836716	0.007281553398058253	0.000441306266548985	0.6560017652250661	0.0176522506619594	0.0	Green	0.6560017652250661	4532
IPCM	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	2688
IPCN	0.0008410428931875525	0.0	0.0	0.006097560975609756	0.9930613961312027	0.0	Orange	0.9930613961312027	4756
IPCP	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	2985
IPCQ	0.9839302112029384	0.0	0.0	0.0	0.016069788797061526	0.0	Blue	0.9839302112029384	2178
IPCR	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	465
IPCS	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	557
IPCT	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	756
IPCW	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	6374
IPCZ	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	706
IPDA	0.2972972972972973	0.0	0.0	0.0	0.0	0.7027027027027027	Purple	0.7027027027027027	111
IPDB	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	2414
IPDC	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	502
IPDD	0.9953731643532489	0.0	0.0	0.004626835646751157	0.0	0.0	Blue	0.9953731643532489	4971
IPDE	0.44285714285714284	0.0	0.0	0.0	0.0	0.5571428571428572	Purple	0.5571428571428572	140
IPDF	0.0	0.0	0.0	0.0	1.0	0.0	Orange	1.0	2710
IPDG	0.0015585427625170465	0.0	0.0	0.9984414572374829	0.0	0.0	Green	0.9984414572374829	10266
IPDH	0.8025641025641026	0.0	0.0	0.06638176638176638	0.13105413105413105	0.0	Blue	0.8025641025641026	3510
IPDI	0.4536741214057508	0.0	0.0	0.18610223642172524	0.36022364217252395	0.0	Blue	0.4536741214057508	1252
IPDJ	0.9959074733096085	0.0	0.0	0.004092526690391459	0.0	0.0	Blue	0.9959074733096085	5620
IPDK	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	534
IPDL	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5284
IPDM	0.009031361651448988	0.0	0.0	0.990968638348551	0.0	0.0	Green	0.990968638348551	10076
IPDN	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	584
IPDQ	0.9867788461538461	0.0	0.0	0.01201923076923077	0.001201923076923077	0.0	Blue	0.9867788461538461	832
IPDR	0.9690123950419832	0.0	0.0	0.030987604958016793	0.0	0.0	Blue	0.9690123950419832	5002
IPDS	0.998791053798106	0.0	0.0	0.0	0.0012089462018940156	0.0	Blue	0.998791053798106	4963
IPDT	0.9443708609271523	0.0	0.0	0.004541154210028382	0.0510879848628193	0.0	Blue	0.9443708609271523	5285
IPDU	0.015258329309512313	0.0	0.0	0.9847416706904877	0.0	0.0	Green	0.9847416706904877	10355
IPDW	0.8165784832451499	0.18342151675485008	0.0	0.0	0.0	0.0	Blue	0.8165784832451499	1134
IPDX	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	915
IPDY	0.9117840684660962	0.07175773535220539	0.0	0.016458196181698487	0.0	0.0	Blue	0.9117840684660962	4557
IPDZ	0.9303630363036304	0.06963696369636964	0.0	0.0	0.0	0.0	Blue	0.9303630363036304	3030
IPEA	0.9972826086956522	0.0	0.0	0.002717391304347826	0.0	0.0	Blue	0.9972826086956522	368
IPEC	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	2074
IPED	0.9986681887366818	0.0	0.0	0.0	0.0013318112633181126	0.0	Blue	0.9986681887366818	5256
IPEE	0.9478111259797362	0.0	0.0	0.0	0.052188874020263815	0.0	Blue	0.9478111259797362	5231
IPEF	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	5284
IPEG	0.9982608695652174	0.0	0.0	0.0017391304347826088	0.0	0.0	Blue	0.9982608695652174	5750
IPEH	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1739
IPEI	0.9977116704805492	0.0	0.0	0.002288329519450801	0.0	0.0	Blue	0.9977116704805492	437
IPEJ	0.0014690040152776417	0.0	0.0	0.9978454607775928	0.0006855352071295661	0.0	Green	0.9978454607775928	10211
IPEK	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	2327
IPEL	0.26528692380056446	0.0	0.0	0.7347130761994356	0.0	0.0	Green	0.7347130761994356	2126
IPEM	0.8965909090909091	0.0	0.0	0.03409090909090909	0.06931818181818182	0.0	Blue	0.8965909090909091	7040
